name,current_status,current_alternative_legal_name,incorporation_date,registered_address_street_address,registered_address_region
"ASF ORTHOPAEDIC MEDICAL GROUP, INC.",Active,,2006-05-23,"6331 GREENLEAF AVE, STE J",CA
"MONTEREY PENINSULA PEDIATRIC MEDICAL GROUP, INC.",Active,,2006-08-01,"2 UPPER RAGSDALE DR, STE B210",CA
"SANTA CRUZ RADIATION ONCOLOGY MEDICAL GROUP, INCORPORATED",Active,,2006-12-18,1575 SOQUEL DRIVE,CA
"STUDIO CITY ORTHOPEDIC AND MEDICAL GROUP, INC.",Active,,2007-01-10,10614 RIVERSIDE DR.,CA
"BEVERLY HILLS ONCOLOGY MEDICAL GROUP, INC.",Active,,2007-04-13,"8900 WILSHIRE BOULEVARD, SUITE 200",CA
"SOMA ORTHOPEDICS MEDICAL GROUP, INC.",Active,,2007-06-15,1580 VALENCIA ST STE 703,CA
"CARMICHAEL PEDIATRIC MEDICAL GROUP, INC.",Active,,2007-08-28,5841 JAMESON CT,CA
"ACUTE CARE SURGERY MEDICAL GROUP, INC.",Active,,2007-11-29,"8757 AUBURN FOLSOM ROAD, #2700",CA
"SOUTHERN CALIFORNIA ORTHOPEDIC MEDICAL GROUP, INC.",Active,,2007-11-19,"485 E FOOTHILL, B",CA
"ADVANCED RADIATION ONCOLOGY MEDICAL GROUP, INC.",Active,,2008-02-06,1235 W CHESHIRE ST,CA
"LAUREL PEDIATRICS MEDICAL GROUP, INC.",Active,,2008-05-08,3055 MACARTHUR BLVD.,CA
"OLDE DEL MAR SURGICAL MEDICAL GROUP, INC.",Active,,2008-05-23,9850 GENESEE AVENUE SUITE 570,CA
"WASHINGTON RADIATION ONCOLOGY CENTER, A MEDICAL GROUP, INC.",Active,,2008-06-13,39101 CIVIC CENTER DRIVE,CA
PEDIATRIC CARDIOLOGY SPECIALISTS MEDICAL GROUP INC,Active,,2009-01-09,350 E VANDERBILT WAY STE A,CA
"NOVA HEMATOLOGY ONCOLOGY MEDICAL GROUP, INC.",Active,,2009-05-06,6300 WILSHIRE BOULEVARD SUITE 880,CA
"PLASTIC SURGERY SO CAL MEDICAL GROUP, INC.",Active,,2009-02-23,250 WEST 1ST STREET SUITE 116,CA
"PROSTAR ORTHOPEDIC MEDICAL GROUP, INC., A PROFESSIONAL MEDICAL CORPORATION",Active,,2010-09-10,1314 WEST AVE J,CA
"SACRAMENTO SURGICAL HOSPITALISTS MEDICAL GROUP, INC.",Active,,2009-11-19,1737 CREEKSIDE DRIVE,CA
"CENTRAL CALIFORNIA PEDIATRIC SPECIALTY MEDICAL GROUP, INC.",Active,,2010-04-07,5940 W BUENA VISTA CT,CA
"SOUTHERN CALIFORNIA NEUROLOGY MEDICAL GROUP, INC.",Active,,2010-09-29,"625 S. FAIR OAKS AVE., # 325",CA
CAMBRIAN CARDIOLOGY MEDICAL GROUP INC.,Active,,2010-10-07,3419 VIA LIDO STE 654,CA
"PREMIER NEUROLOGY MEDICAL GROUP INC. , A PROFESSIONAL CORPORATION",Active,,2010-12-31,"415 N CRESCENT DR., STE 110",CA
"NOE VALLEY PEDIATRICS, A MEDICAL GROUP, INC.",Active,,2011-04-01,185 PERTH WAY,CA
"COMMUNITY NEUROLOGY & PULMONARY MEDICAL GROUP, INC.",Active,,2011-04-15,7407 N CEDAR AVE SUITE 101,CA
"OC PEDIATRICS MEDICAL GROUP, INC.",Active,,2012-02-17,"26700 TOWNE CENTRE DR, SUITE 150",CA
"MURRIETA VALLEY SURGERY ASSOCIATES MEDICAL GROUP, INC., A PROFESSIONAL CORPORATION",Active,,2012-03-26,"36320 INLAND VALLEY DR., STE. 101",CA
"FIRST PEDIATRICS MEDICAL GROUP, INC.",Active,,2012-07-25,"6255 N FRESNO ST, STE 106",CA
"SYNERGY RADIATION ONCOLOGY MEDICAL GROUP, INC",Active,,2012-07-24,7 MONTECITO DR,CA
URGENT ORTHOPAEDIC CARE MULTI SPECIALTY MEDICAL GROUP INC,Active,,2013-08-30,10640 RIVERSIDE DRIVE,CA
"CARDIOTHORACIC SURGERY MEDICAL GROUP, INC.",Active,,2014-07-07,1125 TOURNAMENT DRIVE,CA
"NEWPORT BEACH SURGICAL AND MEDICAL GROUP, INC.",Active,,2014-08-04,"180 NEWPORT CENTER DRIVE, SUITE 158",CA
"ACUTE CARE SURGERY MEDICAL GROUP OF NEW MEXICO, INC.",Active,,2015-01-12,"8757 AUBURN FOLSOM ROAD, #2700",CA
"ONCOLOGY ASSOCIATES OF FRESNO MEDICAL GROUP, INC.",Active,,2015-03-26,"1180 E. SHAW AVE., SUITE 101",CA
"OLYMPUS ORTHOPEDIC MEDICAL GROUP, INC.",Active,,2015-07-09,323 WEST JONES ST. UNIT 1225,NC
"SEQUOIA CARDIOLOGY MEDICAL GROUP, INC.",Active,,2016-01-12,"2912 W. MAIN ST., STE. A",CA
"PEDIATRIC MEDICAL GROUP OF SAN FRANCISCO, INC.",Active,,2016-04-19,901 CAMPUS DRIVE SUITE #207,CA
GREEN ORTHOPEDIC MEDICAL GROUP INC,Active,,2016-08-15,1040 ELM AVE.  #100,CA
"SCRIPPS ONCOLOGY MEDICAL GROUP, INC.",Active,,2016-10-18,10140 CAMPUS POINT DRIVE,CA
CEDARS-SINAI VALLEY ONCOLOGY MEDICAL GROUP,Active,,2017-01-12,"6500 WILSHIRE BLVD, 19TH FLOOR",CA
ADVANCED HEMATOLOGY ONCOLOGY MEDICAL GROUP INC,Active,,2017-03-16,"6221 WILSHIRE BLVD, SUITE 506",CA
ELITE SURGERY MEDICAL GROUP,Active,,2017-06-29,38920 TRADE CENTER DRIVE,CA
"ENDOVASCULAR SURGICAL ASSOCIATES OF LOS ANGELES, A MEDICAL GROUP, INC.",Active,,2018-05-23,3680 E IMPERIAL HWY STE 502,CA
"CALIFORNIA ONCOLOGY SPECIALISTS MEDICAL GROUP, INC.",Active,,2018-06-13,"7370 N. PALM AVE, SUITE 101",CA
"REGIONAL ONCOLOGY ASSOCIATES MEDICAL GROUP, INC.",Active,,2018-10-03,1445 LIVORNA ROAD,CA
"SAN DIEGO UPTOWN PEDIATRICS MEDICAL GROUP, INC.",Active,,2019-01-04,3500 FIFTH AVENUE SUITE 101,CA
PEDIATRIC HEALTH MEDICAL GROUP INC.,Active,,2019-09-27,14880 LOS GATOS BLVD,CA
"EAST SACRAMENTO PEDIATRIC MEDICAL GROUP, INC.",Active,,2019-10-02,"5030 J STREET, STE 301",CA
"OASIS ANESTHESIA, SURGICAL AND MEDICAL GROUP, INC.",Active,,2020-04-01,496 OLD NEWPORT BLVD #2,CA
"BEVERLY ONCOLOGY PROTON MEDICAL GROUP, APC",Active,,2020-03-30,120 W. BEVERLY BLVD,CA
"CAREMORE PEDIATRIC HOSPITALIST MEDICAL GROUP, INC.",Active,,2020-04-14,4535 DRESSLER ROAD NW,OH
ORTHO 1 MEDICAL GROUP,Active,,2020-11-17,"9834 GENESEE AVE, SUITE 228",CA
"SOUTHWEST CARDIOLOGY MEDICAL GROUP, INC.",Active,,2021-02-01,1545 W. FLORIDA AVE.,CA
"SREY PEDIATRICS MEDICAL GROUP, PC",Active,,2021-04-07,"31573 RANCHO PUEBLO RD, SUITE 102",CA
SURGICAL MEDICAL GROUP INC.,Active,,2021-06-03,18080 BEACH BLVD SUITE 101,CA
ORTHOCARE PARTNERS MEDICAL GROUP,Active,,2021-09-03,14557 FRIAR STREET,CA
"Physician Assistants in Cardiology Medical Group, Inc.",Active,,2022-04-07,"8610 S. SEPULVEDA BLVD, UNIT 202",CA
"Intercommunity Cardiology Medical Group, APC",Active,,2022-04-28,"5471 LA PALMA AVENUE, SUITE 103",CA
VAIHAN CARDIOLOGY MEDICAL GROUP,Active,,2022-08-29,3550 Q STREET  STE 101,CA
SF BAY AREA PLASTIC SURGERY MEDICAL GROUP,Active,,2022-09-02,"515 SOUTH DRIVE, SUITE 25",CA
"KNEE SHOULDER BACK ORTHOPEDIC MEDICAL GROUP, A PROFESSIONAL CORPORATION",Active,,2022-10-25,5417 PACIFIC BLVD SUITE B,CA
Orange County Pediatric Cardiology Medical Group,Active,,2023-01-11,"1310 W. STEWART DRIVE, 407",CA
NEUROLOGICAL INJURY SPECIALISTS MEDICAL GROUP INC.,Active,,2023-07-13,"900 WILSHIRE BOULEVARD, SUITE #310",CA
"OrthoLive Medical Group, PC",Active,,2023-11-06,1311 VINE ST,OH
"LOS ANGELES HEMATOLOGY/ONCOLOGY MEDICAL GROUP, A MEDICAL CORPORATION",Active,,2024-01-02,541 W COLORADO ST STE 205,CA
"PEDIATRIX MEDICAL GROUP OF COLORADO, P.C.",Good Standing,,1989-12-27,,
"Acute Care Surgery Medical Group, P.C.",Good Standing,,2022-06-07,,
"PEDIATRIX MEDICAL GROUP OF THE MID-ATLANTIC, P.C.",Active,,2006-07-21,,
PEDIATRIX MEDICAL GROUP OF THE MID-ATLANTIC,Active,,2006-07-21,"1301 Concord Terrace,",Florida
"Hello Pediatrics Medical Group, PLLC",Active,,2023-03-22,"13135 Lee Jackson Memorial Hwy Ste 300,",Virginia
ORTHOPAEDIC MEDICAL GROUP OF TAMPA BAY PA,Active,,1978-06-13,,
"PEDIATRIX MEDICAL GROUP OF FLORIDA, INC.",Active,,1980-06-06,,
"BAPTIST HEALTH MEDICAL GROUP ORTHOPEDICS, LLC",Active,,2007-09-11,,
"COLLIER HMA NEUROLOGICAL VASCULAR MEDICAL GROUP, LLC",Active,,2011-02-04,,
"BAPTIST HEALTH MEDICAL GROUP ONCOLOGY, LLC",Active,,2014-09-11,,
"PEDIATRIX MEDICAL GROUP, INC.",Active,,2007-10-10,,
ORTHOPAEDIC AND SPINE MEDICAL GROUP INC,Active,,2014-02-03,,
"CLARITY PEDIATRICS MEDICAL GROUP, P.A.",Active,,2023-12-07,,
"WESTLAND PEDIATRIC & FAMILY MEDICAL GROUP, INC.",Active,,1994-07-14,,
"PRIVIA PEDIATRIC MEDICAL GROUP OF GEORGIA, LLC",Active/Compliance,,2014-11-17,"950 NORTH GLEBE ROAD, SUITE 700",VA
Cleaver Medical Group Surgery Center Inc,Active/Compliance,,2019-10-11,105 Professional Park Drive,GA
"ATL Orthopedics Medical Group, LLC",Active/Owes Current Year Ar,,2021-11-04,4143 Randall Court NW,GA
"Acute Care Surgery Medical Group, Inc.",Active/Compliance,,2022-12-23,"8757 Auburn Folsom Road, 2700",CA
"PEDIATRIX MEDICAL GROUP OF GEORGIA, P.C.",Active/Compliance,,1995-06-07,1301 Concord Terrace,FL
"PEDIATRIX MEDICAL GROUP OF TENNESSEE, P.C.",Active/Compliance,,1999-08-30,1301 Concord Terrace,FL
"PEDIATRIC MEDICAL GROUP, LLC",Active,,2004-01-19,,
"ACUTE CARE SURGERY MEDICAL GROUP, INC.",Active Good Standing,,2023-11-09,"#2700\n8757 AUBURN FOLSOM ROAD\nGRANITE BAY, CA 95746",
"CARDIOLOGY MEDICAL GROUP, LTD.",Goodstanding,,1986-05-06,,
"PEDIATRIX MEDICAL GROUP OF ILLINOIS, P.C.",Goodstanding,,1994-05-24,,
"PEDIATRIX MEDICAL GROUP OF INDIANA, P.C.",Active,,1997-03-26,"1301 CONCORD TERRACE, SUNRISE, FL 33323",
"LAPORTE MEDICAL GROUP SURGICAL CENTER, LLC",Active,,2007-05-30,"900 I ST, LA PORTE, IN 46350",
"PEDIATRIX MEDICAL GROUP OF KANSAS, P.A.",Active And In Good Standing,,1993-04-06,1301 Concord Terrace,FL
"SANTA ROSA ORTHOPAEDIC MEDICAL GROUP, INCORPORATED",Active And In Good Standing,,2023-02-02,"1405 MONTGOMERY DRIVE, SANTA ROSA, CA 95405",
"DESERT TRAUMA SURGEONS, A MEDICAL GROUP, INC",Active And In Good Standing,,2023-05-31,"4601 E. DOUGLAS AVE.STE 150, WICHITA, KS 67218",
"PEDIATRIX MEDICAL GROUP OF KENTUCKY, P.S.C.",Active,,2002-01-14,,
"PEDIATRIX MEDICAL GROUP OF TENNESSEE, P.S.C.",Active,,,,
"Danville Pediatrics Medical Group, PLLC",Active,,2021-11-02,,
"PEDIATRIX MEDICAL GROUP OF LOUISIANA, L.L.C.",Active   In Good Standing,,2004-03-30,"400 TRAVIS STREET, SUITE 504, SHREVEPORT, LA 71101",
"DESERT TRAUMA SURGEONS, A MEDICAL GROUP, INC.",Active,,2023-12-27,380 E PASEO EL MIRADOR,CA
"PEDIATRIX MEDICAL GROUP OF THE MID-ATLANTIC, P.C",Incorporated,,2005-09-20,"SUITE 110, 2810 NORTH PARHAM ROAD",VA
"PEDIATRIX MEDICAL GROUP OF TEXAS BILLING, INC",Incorporated,,2022-01-11,1301 CONCORD TERRACE,FL
"PEDIATRIX MEDICAL GROUP OF PENNSYLVANIA, P.C",Incorporated,,2023-03-08,1301 CONCORD TERRACE,FL
"HELLO PEDIATRICS MEDICAL GROUP, LLC A/K/A/ HELLO PEDIATRICS MEDICAL GROUP, PLLC",Active,,2023-03-22,"13135 LEE JACKSON MEMORIAL HWY, STE 300",VA
"Cardiology Associates Medical Group, LLC",Active,,2010-05-13,"900 W. 48th Place, Ste 900",MO
"Surgical Care Medical Group, LLC",Active,,2012-02-08,900 W. 48th Place    Ste 900,MO
"PEDIATRIX MEDICAL GROUP OF MISSOURI, P.C.",Good Standing,,1999-10-01,"120 S Central Ave, Suite 400",MO
"PEDIATRIX MEDICAL GROUP OF KANSAS, P.C.",Good Standing,,1998-03-10,120 SOUTH CENTRAL AVENUE,MO
"Pediatrix Medical Group of Tennessee, P.C.",Good Standing,,2013-10-15,,
"Pediatrix Medical Group of Mississippi, Inc.",Good Standing,,1994-08-12,,
"PEDIATRIX MEDICAL GROUP OF MONTANA, P.C.",Active Good Standing,,2009-06-05,"1301 CONCORD TERRACE\nSUNRISE, FL 33323",
"Orthopedic Associates of Northern California, a Medical Group P.C.",Active Good Standing,,2021-06-04,,
"Pediatrix Medical Group of North Carolina, P.C.",Current Active,,2002-02-12,160 Mine Lake Ct Ste 200,NC
"PEDIATRIX MEDICAL GROUP OF NEW MEXICO, P.C.",Active,,1997-02-26,123 EAST MARCY STREET,NM
LASER AND SKIN SURGERY MEDICAL GROUP LLC,Active,,1998-07-21,,
"ACUTE CARE SURGERY MEDICAL GROUP OF NEW MEXICO, INC",Active,,2013-02-22,"Corporation Trust Center, 1209 Orange Street",DE
"Hope Surgical Medical Group, Inc.",Statement Of Intent To Dissolve,,2016-06-06,,
"ORTHOPAEDICS, SPORTS & WORKERS' MEDICAL GROUP, INC.",Default,,2019-05-24,,
"PEDIATRIX MEDICAL GROUP NEONATOLOGY AND PEDIATRIC INTENSIVE CARE SPECIALISTS OF NEW YORK, P.C.",Active,,1993-09-13,28 LIBERTY ST.,NY
"ACUTE CARE SURGERY MEDICAL GROUP, INC.",Active,,2015-08-14,"2450 DEL PASO ROAD, SUITE 250",CA
ORTHOPEDIC ASSOC OF LONG ISLAND PHYSICIANS & MEDICAL GROUP PLLC,Active,,2019-01-03,"6 TECHNOLOGY DRIVE, SUITE #100",NY
"ORTHOLIVE MEDICAL GROUP, INC.",Active,,2017-08-18,"HAMILTON, CINCINNATI",
"SIERRA PACIFIC ORTHOPAEDIC CENTER MEDICAL GROUP, INC.",Active,,2020-04-29,1630 E. HERNDON AVE.,CA
PEDIATRIX MEDICAL GROUP OF OHIO CORP.,Active,,1995-06-07,"MONTGOMERY, DAYTON, OH",
"PEDIATRIX MEDICAL GROUP OF OKLAHOMA, P.C.",In Existence,,1998-07-21,,
"DESERT TRAUMA SURGEONS, A MEDICAL GROUP, INC",In Existence,,2023-08-02,,
"OrthoLive Medical Group PA, PC",Active,,2023-04-24,,
Hello Pediatrics Medical Group PLLC,Active,Hello Pediatrics Medical Group PLLC,2023-08-24,,
"PEDIATRIX MEDICAL GROUP OF PENNSYLVANIA, P.C.",Active,,1994-08-03,United States,
POCONO ADULT & PEDIATRIC MEDICAL GROUP LLC,Active,,1999-06-10,436 WINONA LAKES,PA
OrthoLive Medical Group,Active,,2022-04-18,249 Edgewood Ave #1012,PA
"PEDIATRIX MEDICAL GROUP OF SOUTH CAROLINA, P.A.",Good Standing,,1989-08-02,,
"PEDIATRIX MEDICAL GROUP OF TENNESSEE, P.C.",Active,,1999-04-21,,
"Pediatrix Medical Group Ambulatory Services of TN, PLLC",Active,,2023-02-03,,
"Desert Trauma Surgeons, A Medical Group, Inc",Active,,2023-11-22,,
"ORTHOPEDIC ASSOCIATES OF NORTHERN CALIFORNIA, A MEDICAL GROUP PC",Active,,2023-12-11,,
"Pediatrix Medical Group of Texas Billing, Inc.",In Existence,,2002-12-30,1500 CONCORD TER,FL
"QUALITY PEDIATRIC ACUTE CARE MEDICAL GROUP, PLLC",In Existence,,2015-01-27,9002 CHIMNEY ROCK RD SUITE G 326,TX
"ORTHOPEDIC ASSOCIATES OF NORTHERN CALIFORNIA, A MEDICAL GROUP",In Existence,,2019-05-17,131 RALEY BLVD,CA
CLARITY PEDIATRICS MEDICAL GROUP PLLC,In Existence,,2023-08-10,2261 MARKET ST # 5392,CA
"OrthoLive Medical Group, PA",In Existence,,2024-01-03,,
"PEDIATRIX MEDICAL GROUP, INC.",Active   Current,,1996-10-17,1301 CONCORD TERRACE,FL
"MOUNTAINSTAR MEDICAL GROUP NEUROSURGERY-ST. MARK'S, LLC",Active   Current,,2011-03-22,ONE PARK PLAZA,TN
"Pediatrix Medical Group, P.C.",Active,,1991-10-08,1301 Concord Ter,Florida
"Pediatrix Medical Group of the Mid-Atlantic, P.C.",Active,,2005-09-16,1301 Concord Ter,Florida
"Hello Pediatrics Medical Group, PLLC",Active,,2022-02-15,13135 Lee Jackson Memorial Hwy Ste 300,Virginia
"PEDIATRIX MEDICAL GROUP OF WASHINGTON, INC., P.S.",Active,,1997-03-18,1301 CONCORD TERRACE,FL
"DESERT TRAUMA SURGEONS, A MEDICAL GROUP, INC",Active,,2023-08-18,1846 E INNOVATION PARK DR,AZ
"PEDIATRIX MEDICAL GROUP OF WISCONSIN, S.C.",Incorporated/Qualified,,2022-11-08,,
"Pediatrix Medical Group, Inc.",Active,,2023-02-08,1301 Concord Terrace,FL
"Desert Trauma Surgeons, A Medical Group, Inc",Active,,2023-11-11,30 N Gould St Ste R,WY
